id,complaint_title,complaint_description,category,priority
115,Missing / damaged traffic sign,Public square lighting malfunction at Community Center,lighting,MEDIUM
116,Street light not working,Request for additional street lighting in Industrial Zone,lighting,LOW
117,Safety hazard (gas smell / exposed wires / sparks),"Gas smell reported in Market Area, possible leak",safety,HIGH
118,Safety hazard (gas smell / exposed wires / sparks),"Gas leak detected near Bus Terminal, evacuations needed",safety,HIGH
119,Accident risk hazard on road,Request for additional recycling bin in Train Station,sanitation,LOW
120,Flooding after rain / blocked drains,"Severe flooding in underpass at Sports Complex, vehicles stuck",infrastructure,HIGH
121,"Public property damage (bench, fence, playground)",Playground equipment damaged at Sports Complex,public_property,MEDIUM
122,Stray animals causing disturbance,Repeated complaints about slow service at municipal office City Hall,administrative,MEDIUM
123,Safety hazard (gas smell / exposed wires / sparks),Railway crossing barriers not working at City Hall junction,traffic,HIGH
124,Flooding after rain / blocked drains,"Electrical outage affecting University Area, critical services impacted",utilities,HIGH
125,Noise complaint (construction/event/neighbors),Noise complaint from construction site in Riverside,environment,MEDIUM
126,Sewage overflow / bad drainage,Request for additional recycling bin in Sports Complex,sanitation,LOW
127,Stray animals causing disturbance,"Stray dogs reported near Market Area, safety concerns",environment,MEDIUM
128,Road collapse / sinkhole,Emergency exit blocked in public building at Bus Terminal,safety,HIGH
129,Bridge / wall structural damage,Request to update public notice board at Primary School,administrative,MEDIUM
130,"Public property damage (bench, fence, playground)",Request to repaint public benches in Bus Terminal,public_property,LOW
131,Water leakage / pipe burst,Water main rupture flooding multiple streets near Sports Complex,infrastructure,HIGH
132,Water leakage / pipe burst,"No water supply in East Side since morning, urgent intervention",utilities,HIGH
133,Stray animals causing disturbance,"Stray dogs reported near Community Center, safety concerns",environment,MEDIUM
134,Water leakage / pipe burst,Burst hydrant creating flooding near Market Area,utilities,HIGH
135,Fallen tree / blocked sidewalk,Suggestion to plant more trees in Sports Complex,environment,LOW
136,Traffic light malfunction,"Major traffic light failure at Roundabout A3, risk of accidents",traffic,HIGH
137,Safety hazard (gas smell / exposed wires / sparks),Railway crossing barriers not working at Station junction,traffic,HIGH
138,Traffic light malfunction,Traffic accident reported due to signal outage at Roundabout A3,traffic,HIGH
139,Flooding after rain / blocked drains,"Severe flooding in underpass at City Hall, vehicles stuck",infrastructure,HIGH
140,Sewage overflow / bad drainage,"Sewage overflow spreading on Main Avenue, health risk",infrastructure,HIGH
141,Fallen tree / blocked sidewalk,Tree branches obstructing sidewalk near Main Square,environment,MEDIUM
142,Sewage overflow / bad drainage,"Fire alarm triggered in Main Square, smoke seen",safety,HIGH
143,Traffic light malfunction,Traffic signal malfunction caused near-miss at Central intersection,traffic,HIGH
144,Bridge / wall structural damage,Bridge showing visible structural cracks near General Hospital,infrastructure,HIGH
145,Safety hazard (gas smell / exposed wires / sparks),"Gas leak detected near Bus Terminal, evacuations needed",safety,HIGH
146,Flooding after rain / blocked drains,Request to fix loose paving stones at Public Library,infrastructure,LOW
147,Flooding after rain / blocked drains,"Severe flooding in underpass at Community Center, vehicles stuck",infrastructure,HIGH
148,Traffic light malfunction,Traffic signal malfunction caused near-miss at Market junction,traffic,HIGH
149,Vandalism / graffiti,Graffiti on bus stop shelter at Community Center,vandalism,MEDIUM
150,Fallen tree / blocked sidewalk,Tree branches obstructing sidewalk near Riverside Walk,environment,MEDIUM
151,Traffic light malfunction,Traffic signal malfunction caused near-miss at Roundabout A3,traffic,HIGH
152,Traffic light malfunction,Repeated complaints about slow service at municipal office Sports Complex,administrative,MEDIUM
153,"Public property damage (bench, fence, playground)",Request to repaint public benches in Public Library,public_property,LOW
154,"Public property damage (bench, fence, playground)",Request for updated bus schedule display at Public Library,administrative,LOW
155,Overflowing bins / dirty public area,Minor crack in sidewalk pavement on Via Roma,infrastructure,LOW
156,Vandalism / graffiti,Debris blocking bicycle lane on Corso Italia,traffic,MEDIUM
157,Road pothole / surface damage,Small pothole in residential street Oak Street,infrastructure,LOW
158,Safety hazard (gas smell / exposed wires / sparks),Minor crack in sidewalk pavement on Main Avenue,infrastructure,LOW
159,"Public property damage (bench, fence, playground)","Construction cones left on Viale Europa, causing congestion",traffic,MEDIUM
160,Overflowing bins / dirty public area,Emergency exit blocked in public building at General Hospital,safety,HIGH
161,Traffic light malfunction,Complaint about stray cats in Riverside,environment,LOW
162,Traffic light malfunction,Traffic accident reported due to signal outage at Central intersection,traffic,HIGH
163,Noise complaint (construction/event/neighbors),Noise complaint from construction site in Old Town,environment,MEDIUM
164,Missing / damaged traffic sign,Street name sign slightly damaged on Oak Street,traffic,LOW
165,Street light not working,Question about waste sorting rules in South District,administrative,LOW
166,"Public property damage (bench, fence, playground)",Broken bench in City Hall,public_property,MEDIUM
167,Sewage overflow / bad drainage,"Sewage overflow spreading on Via Roma, health risk",infrastructure,HIGH
168,Missing / damaged traffic sign,Street name sign slightly damaged on Market Street,traffic,LOW
169,Overflowing bins / dirty public area,Trash scattered around collection area in North District,sanitation,MEDIUM
170,Safety hazard (gas smell / exposed wires / sparks),"Gas leak detected near Riverside Walk, evacuations needed",safety,HIGH
171,Water leakage / pipe burst,Request to install a drinking water fountain in Bus Terminal,public_property,LOW
172,Noise complaint (construction/event/neighbors),Public fountain not working at Sports Complex,public_property,MEDIUM
173,Road pothole / surface damage,Question about waste sorting rules in University Area,administrative,LOW
174,Illegal dumping / waste on street,Minor crack in building facade at City Hall,public_property,LOW
175,Noise complaint (construction/event/neighbors),Noise complaint from construction site in Industrial Zone,environment,MEDIUM
176,Overflowing bins / dirty public area,Public fountain not working at Community Center,public_property,MEDIUM
177,Road pothole / surface damage,"Construction cones left on Viale Europa, causing congestion",traffic,MEDIUM
178,Fallen tree / blocked sidewalk,Tree fallen blocking ambulance route to Train Station,safety,HIGH
179,Road pothole / surface damage,Small pothole in residential street Main Avenue,infrastructure,LOW
180,Safety hazard (gas smell / exposed wires / sparks),"Gas smell reported in Primary School, possible leak",safety,HIGH
181,Missing / damaged traffic sign,Fire reported in public building at Primary School,safety,HIGH
182,Garbage collection missed / delayed,Garbage collection delayed by one day in Old Town,sanitation,LOW
183,Stray animals causing disturbance,Public fountain not working at General Hospital,public_property,MEDIUM
184,Vandalism / graffiti,Minor crack in sidewalk pavement on Main Avenue,infrastructure,LOW
185,Noise complaint (construction/event/neighbors),Emergency exit blocked in public building at City Hall,safety,HIGH
186,Traffic light malfunction,Traffic signal malfunction caused near-miss at City Hall junction,traffic,HIGH
187,Road collapse / sinkhole,"Road collapse reported near Bus Terminal, traffic blocked",infrastructure,HIGH
188,Missing / damaged traffic sign,Emergency exit blocked in public building at Public Library,safety,HIGH
189,Street light not working,Street light not working on Main Avenue,lighting,MEDIUM
190,Sewage overflow / bad drainage,Complaint about stray cats in University Area,environment,LOW
191,Street light flickering / low visibility,Public fountain not working at Bus Terminal,public_property,MEDIUM
192,Garbage collection missed / delayed,Request information about office opening hours at Central Park,administrative,LOW
193,Fallen tree / blocked sidewalk,Debris blocking bicycle lane on Oak Street,traffic,MEDIUM
194,Missing / damaged traffic sign,Street name sign slightly damaged on Hill Street,traffic,LOW
195,Water leakage / pipe burst,"Water contamination suspected in East Side, residents reporting illness",utilities,HIGH
196,Safety hazard (gas smell / exposed wires / sparks),Request to replace decorative lights in Central Park,lighting,LOW
197,Traffic light malfunction,Traffic signal malfunction caused near-miss at Hospital junction,traffic,HIGH
198,Noise complaint (construction/event/neighbors),Noise complaint about loud music at event in Community Center,environment,LOW
199,Street light flickering / low visibility,Streetlight flickering intermittently on Station Road,lighting,MEDIUM
200,"Public property damage (bench, fence, playground)",Request to repaint public benches in Central Park,public_property,LOW
